codigo,instancia,día,inicio,horas,ubicación
CLIE,1,M,07:30,4,
CLIE,2,M,16:30,2,
CTIE,1,Th,07:30,4,
ADMI,1,M,12:30,4,
DELTA,1,F,12:30,4,DeltaLab
IF-3502,1,T,09:30,2,C1-02
IF-3502,2,T,13:00,2,C1-02
IF-3502,3,W,13:00,2,C1-02
MI-4210,3,F,09:30,2,D10-11
1341030,1,T,07:30,2,
1341030,1,T,15:00,2,
1341029,1,W,07:30,4,
1341029,2,W,15:00,2,
1341025,1,F,07:30,2,
1460108,1,T,17:00,1.5,
1460108,1,W,17:00,1.5,
1460108,1,Th,16:30,2,
CONS,1,Th,12:30,4,EIEM: Oficina 31
ALMS,1,M,11:30,1,
ALMS,2,T,11:30,1,
ALMS,3,W,11:30,1,
ALMS,4,Th,11:30,1,
ALMS,5,F,11:30,1,
